Point;LatLng
4316;44.1791772,44.7870555
4317;39.6486900,46.5691760
4318;39.6308040,47.2057990
4319;38.8600614,47.5752419
4321;38.2757009,46.6870612
4322;40.1253020,45.8503960
4323;38.9459024,45.6119508
4324;40.9807220,57.7713880
4325;37.8297092,55.8069075
4326;30.2949929,59.9997532
4327;40.1638176,47.7111288
4328;30.3350986,59.9342802
4329;101.6130540,56.1738063
4330;101.7488551,56.3195133
4331;41.5094068,46.4693702
4332;132.0064506,43.1737387
4333;37.9091811,59.1323330
4334;34.3589901,61.7895847
4335;30.4286500,60.0233060
4336;40.9766453,57.0050671
4337;61.3699262,55.2251915
4338;40.1556603,45.8558204
4339;40.5440100,45.4167270
4340;34.3640396,61.7781617
4341;30.2293150,60.0261700
4342;49.9885606,58.5540671
4343;41.9177652,57.2200622
4344;30.7081861,61.7106480
4345;30.2946534,59.9656390
4346; -0.550118,38.348525
4347;30.3834244,59.8348451
4348;30.5124841,59.8587922
4349;30.3350986,59.9342802
4350;30.4561300,59.9617950
4352;39.8698790,57.6353320
4353;39.8502060,64.5435040
4354;46.4870606,43.2105749
4355;37.9705420,59.1154990
4356;39.807681,47.235581
4357;40.5311845,56.1940532
4358;39.8693570,59.2249580
4359;73.3845471,61.2559503
4360;30.6879017,61.7045424
4361;40.9668070,57.7645800
4362;39.8502060,64.5435040
4363;39.6146580,47.2499150
4364;30.3724290,59.9648680
4365;41.0281610,56.9621180
4366;38.9169065,47.2360658
4367;59.9523517,56.9074220
4368;33.6044944,45.1338707
4369;37.9220240,59.1380530
4370;37.3730660,55.7244160
4371;40.6074985,64.5321415
4372;30.2441857,59.9850090
4373;39.7671744,57.6447057
4374;37.6281809,55.4450945
4375;39.0109010,45.0109919
4376;39.8718130,57.6339923
4377;37.6615841,55.7267274
4378;41.2914960,56.3479590
4379;43.8997030,56.3167070
4381;30.1316671,61.0222218
4383;40.3941683,56.1691665
4384;30.4244799,59.8661529
4385;60.6057025,56.8389261
4386;36.9944656,45.2870669
4387;39.8844708,57.6260744
4388;34.1113600,44.9411850
4390;50.1676584,53.1837685
4391;61.4368431,55.1644419
4392;39.7015050,47.2357137
4393;35.9519589,59.3988929
4394;35.9519589,59.3988929
4395;33.0927570,69.0173960
4396;37.6059420,55.8521050
4397;30.3350986,59.9342802
4398;30.4553530,59.8598210
4399;37.4072920,54.9430049
4400;34.2917506,53.3118025
4401;32.0863490,54.7841170
4402;30.2843285,59.9053815
4403;36.0799240,52.9900340
4404;37.9091811,59.1323330
4405;33.7894387,45.9560344
4406;39.9341063,47.7560583
4407;39.5967378,47.2378444
4408;39.6321582,46.5600955
4409;38.4410290,55.7916790
4410;33.1024151,68.9380119
4411;30.3863510,59.9076552
4412;38.8827665,58.0373297
4413;39.8844708,57.6260744
4414;39.8844708,57.6260744
4415;30.3125270,59.8346599
4416;59.9815210,57.9186860
4417;38.8116968,58.0574860
4418;39.8322669,59.2088160
4419;49.666181,58.575003
4420;40.9766453,57.0050671
4421;36.6923170,55.5785980
4423;38.9549490,55.8118710
4424;-0.329476,39.546112
4425;37.9097269,59.0983430
4426;36.6922878,55.5786223
4427;2.064521,41.355100
4428;37.4057086,54.9223027
4429;29.7402300,59.9187470
4430;55.1004538,51.7666482
4431;39.8844708,57.6260744
4432;41.3226311,56.3567690
4433;41.0058140,57.7775130
4434;30.3183087,59.9868283
4435;40.1309183,45.8693223
4436;40.3842965,56.1488481
4437;39.7015050,47.2357137
4438;42.1127841,61.0553601
4439;39.8688894,47.2704544
4440;40.9698928,57.7774816
4441;30.5629698,59.8003088
4442;60.6057025,56.8389261
4443;40.9766453,57.0050671
4444;76.9305024,43.2572471
